"practice_code","total_all","lsao2011_all_linked ","lsao2011_all_proportion","ethinic_2011_attributed_5_1","ethinic_2011_attributed_5_2","ethinic_2011_attributed_5_3","ethinic_2011_attributed_5_4","ethinic_2011_attributed_5_5","ethinic_2011_attributed_18_01","ethinic_2011_attributed_18_02","ethinic_2011_attributed_18_03","ethinic_2011_attributed_18_04","ethinic_2011_attributed_18_05","ethinic_2011_attributed_18_06","ethinic_2011_attributed_18_07","ethinic_2011_attributed_18_08","ethinic_2011_attributed_18_09","ethinic_2011_attributed_18_10","ethinic_2011_attributed_18_11","ethinic_2011_attributed_18_12","ethinic_2011_attributed_18_13","ethinic_2011_attributed_18_14","ethinic_2011_attributed_18_15","ethinic_2011_attributed_18_16","ethinic_2011_attributed_18_17","ethinic_2011_attributed_18_18"
"K82003",15080,15078,0.999867374005305,0.794082389220618,0.0339900173737098,0.109828299285101,0.0576140530358267,0.00448524108474515,0.747641205437459,0.00865162201658901,0.000338496603424319,0.0374510651631458,0.0105362522636761,0.00651010206843069,0.00727950946378462,0.00966415357781831,0.0126171679335996,0.0607408763539146,0.00942479041931739,0.00370676302699752,0.0233387015512716,0.0429393037557777,0.00893537777611311,0.00573937150393591,0.00107518179352407,0.00341005929122108
"K82004",12775,12775,1,0.90630860565146,0.0266523135541331,0.0578116752574244,0.00572716196294141,0.00350024357404162,0.837281397832235,0.0122058521252767,0.00161850255225879,0.0552028531416894,0.00508345087666797,0.00225577156935111,0.013707471324098,0.005605619784016,0.0289944869029614,0.00537380923249056,0.00132553921709458,0.00718600544980208,0.0149318344550758,0.00300078699270303,0.00207867052958356,0.000647704440654819,0.000453394033198064,0.00304684954084355
"K82005",6787,6786,0.999852659496095,0.944250426230957,0.0172035401500361,0.0290385148090756,0.00729695059343211,0.00221056821649875,0.898204027193356,0.00990583813358949,0.000535919129388417,0.0356046417746238,0.00714442960936251,0.00111167131039864,0.00537515593778038,0.00357228329249457,0.00809045759058101,0.00739533330326311,0.00128340720319719,0.00333324813366344,0.00893606857837082,0.00243759933970428,0.00329670524686184,0.00156264600686598,0.00077455873370993,0.00143600948278882
"K82006",9606,9606,1,0.790779934083884,0.0238611549433843,0.15663196888241,0.0146792408881211,0.0140477012022003,0.733099950601778,0.014458339119055,0.00717357467129485,0.0360480696917566,0.00614305875762935,0.00197246341861201,0.00941347670642207,0.00633215606072089,0.108031777795486,0.0175854432261327,0.00196664525045075,0.00421628436629957,0.0248318182440413,0.00730488315810497,0.005732702615189,0.0016416551148271,0.00449265197675356,0.00955504922544676
"K82007",19215,19200,0.999219359875098,0.938005181356954,0.014722140234553,0.0259968383482446,0.0166298866000556,0.00464595346019308,0.892308841657686,0.00724567568305017,0.000850191965687367,0.0376004720505303,0.00338018903908534,0.00214436770955212,0.00582780028369085,0.00336978320222474,0.00774938483278837,0.00433468494135295,0.000541281620205132,0.00482607693979633,0.00854541001410181,0.0109914806672273,0.00419185920024319,0.00144654673258512,0.00274073620407265,0.00190521725612043
"K82008",9418,9418,1,0.8541693249643,0.0253428525565775,0.104691833456431,0.00578915192287071,0.0100068370998209,0.767604696653206,0.0197585760810001,0.00232236356001066,0.0644836886700838,0.00441425675989492,0.00165615214465897,0.0134808036316206,0.00579164002040299,0.0679865808054251,0.0109647241493607,0.000808020362183395,0.00692660993079434,0.018005898208667,0.00296183948564468,0.00184752962143854,0.000979782815787492,0.00197895047319773,0.0080278866266232
"K82009",11492,11487,0.999564914723286,0.931356150333115,0.0170091207714809,0.0329332290321276,0.0159465419645004,0.00275495789877612,0.895814037955495,0.01131353773844,8.02347290983839e-05,0.0241483399100819,0.00443596227014322,0.00257062617173684,0.00473527287760317,0.00526725945199763,0.00964858207372355,0.0125110104203969,0.00124660200780786,0.00277431409271086,0.00675272043748836,0.0111665579493157,0.00354735092435727,0.00123263309082744,0.000902860960865222,0.00185209693791089
"K82010",9385,9385,1,0.666106345560935,0.0347327723106687,0.24062051397985,0.0531355354653099,0.00540483268323635,0.59792140370995,0.00810584345628634,0.000327465324440675,0.059751633070258,0.0173275438898832,0.00241048861213441,0.00870427321542181,0.00629046659322932,0.0279312751803425,0.172058413356888,0.00492542552284346,0.00627065596123286,0.0294347439585433,0.0162775943383577,0.0308358800915461,0.00602206103540607,0.00162347945273183,0.00378135323050452
"K82011",7583,7583,1,0.909943545892425,0.0238740935644765,0.0535133080614205,0.00726709995488675,0.00540195252679103,0.838196880193506,0.0173385392464982,0.000414061724904321,0.0539940647275168,0.00549280162884152,0.00108789228225291,0.0133293249845205,0.00396407466886164,0.0270038620525728,0.00588532010190796,0.00193144164277574,0.00885120301845852,0.00984148124570547,0.00428605989312492,0.002509081391179,0.00047195867058283,0.00144289570119732,0.00395905682559371
"K82012",5986,5986,1,0.922875041124425,0.0194262196239454,0.0424296815616449,0.010348665667934,0.00492039202205071,0.88890860650851,0.00758657649188799,0.000215566937753731,0.0261642911862735,0.00695480518112745,0.000809824284776148,0.00753149493911967,0.00413009521892209,0.015847536009141,0.0112210888112879,0.0023454771036377,0.00510479217437101,0.00791078746320735,0.00306904225621062,0.00585935293450858,0.00142027047721482,0.00140036861236251,0.0035200234096882
